駅名(漢字)	読み	頭文字	母音	県	会社	路線	廃駅	文字数
三ッ沢下町	みつざわしもちょう	み	IUAAIOOO	神奈川県	横浜市営地下鉄	ブルーライン		5
三関	みつせき	み	IUEI	秋田県	JR東日本	奥羽本線		2
三つ峠	みつとうげ	み	IUOOE	山梨県	富士急行			3
光法	みつのり	み	IUOI	佐賀県	国鉄	佐賀線	D	2
三橋	みつはし	み	IUAI	福岡県	国鉄	佐賀線	D	2
三津浜	みつはま	み	IUAA	愛媛県	JR四国	予讃線		3
三菱自工前	みつびしじこうまえ	み	IUIIIOOAE	岡山県	水島臨海鉄道			5
三妻	みつま	み	IUA	茨城県	関東鉄道	常総線		2
三俣	みつまた	み	IUAA	群馬県	上毛電鉄			2
三又川	みつまたがわ	み	IUAAAA	大分県	大分交通	豊州線	D	3
三松[福井]	みつまつ	み	IUAU	福井県	JR西日本	小浜線		2
三ッ松[大阪]	みつまつ	み	IUAU	大阪府	水間鉄道			3
三峰口	みつみねぐち	み	IUIEUI	埼玉県	秩父鉄道			3
三ッ屋	みつや	み	IUA	石川県	北陸鉄道	浅野川線		3
みつわ台	みつわだい	み	IUAAI	千葉県	千葉都市モノレール			4
御幣島	みてじま	み	IEIA	大阪府	JR西日本	東西線		3
水戸[茨城]	みと	み	IO	茨城県	JR東日本	常磐線		2
弥刀[大阪]	みと	み	IO	大阪府	近鉄	大阪線		2
御堂	みどう	み	IOO	岩手県	IGRいわて銀河鉄道			2
三苫	みとま	み	IOA	福岡県	西鉄	貝塚線		2
緑[北海道]	みどり	み	IOI	北海道	JR北海道	釧網本線		1
水鳥[岐阜]	みどり	み	IOI	岐阜県	樽見鉄道			2
緑井	みどりい	み	IOII	広島県	JR西日本	可部線		2
緑が丘(北海道)	みどりがおか	み	IOIAOA	北海道	JR北海道	富良野線		3
緑が丘(東京)	みどりがおか	み	IOIAOA	東京都	東急	大井町線		3
緑が丘(兵庫)	みどりがおか	み	IOIAOA	兵庫県	神鉄	粟生線		3
緑川	みどりかわ	み	IOIAA	熊本県	JR九州	三角線		2
みどり口	みどりぐち	み	IOIUI	広島県	広島短距離交通	瀬野線		4
みどり湖	みどりこ	み	IOIO	長野県	JR東日本	中央本線		4
みどり台	みどりだい	み	IOIAI	千葉県	京成	千葉線		4
みどり中央	みどりちゅうおう	み	IOIUUOO	広島県	広島短距離交通	瀬野線		5
緑町	みどりちょう	み	IOIOO	神奈川県	伊豆箱根鉄道	大雄山線		2
みどり中街	みどりなかまち	み	IOIAAAI	広島県	広島短距離交通	瀬野線		5
みどりの	みどりの	み	IOIO	茨城県	つくばエクスプレス			4
緑橋	みどりばし	み	IOIAI	大阪府	大阪市高速電気軌道	中央線		2
水上	みなかみ	み	IAAI	群馬県	JR東日本	上越線		2
美袋	みなぎ	み	IAI	岡山県	JR西日本	伯備線		2
水口	みなくち	み	IAUI	滋賀県	近江鉄道	本線		2
水口石橋	みなくちいしばし	み	IAUIIIAI	滋賀県	近江鉄道	本線		4
水口城南	みなくちじょうなん	み	IAUIOOAN	滋賀県	近江鉄道	本線		4
水口松尾	みなくちまつお	み	IAUIAUO	滋賀県	近江鉄道	本線		4
水無瀬	みなせ	み	IAE	大阪府	阪急	京都本線		3
湊	みなと	み	IAO	大阪府	南海	本線		1
湊川	みなとがわ	み	IAOAA	兵庫県	神鉄	有馬線		2
湊川公園	みなとがわこうえん	み	IAOAAOOEN	兵庫県	神戸市営地下鉄	西神・山手線		4
港区役所	みなとくやくしょ	み	IAOUAUO	愛知県	名古屋市営地下鉄	名港線		4
みなとじま	みなとじま	み	IAOIA	兵庫県	ポートライナー			5
港町	みなとちょう	み	IAOOO	神奈川県	京急	大師線		2
みなとみらい	みなとみらい	み	IAOIAI	神奈川県	横浜高速鉄道			6
みなと元町	みなともとまち	み	IAOOOAI	兵庫県	神戸市営地下鉄	海岸線		5
港山	みなとやま	み	IAOAA	愛媛県	伊予鉄道	高浜線		2
皆野	みなの	み	IAO	埼玉県	秩父鉄道			2
南部	みなべ	み	IAE	和歌山県	JR西日本	紀勢本線		2
水俣	みなまた	み	IAAA	熊本県	肥薩おれんじ鉄道			2
南	みなみ	み	IAI	香川県	琴平参宮電鉄	丸亀線	D	1
南阿佐ヶ谷	みなみあさがや	み	IAIAAAA	東京都	東京メトロ	丸ノ内線		5
南阿蘇白川水源	みなみあそしらかわすいげん	み	IAIAOIAAAUIEN	熊本県	南阿蘇鉄道			7
南阿蘇水の生まれる里白水高原	みなみあそみずのうまれるさとはくすいこうげん	み	IAIAOIUOUAEUAOAUUIOOEN	熊本県	南阿蘇鉄道			14
南荒尾	みなみあらお	み	IAIAAO	熊本県	JR九州	鹿児島本線		3
南荒子	みなみあらこ	み	IAIAAO	愛知県	名古屋臨海鉄道	あおなみ線		3
南安城	みなみあんじょう	み	IAIANOO	愛知県	名鉄	西尾線		3
南生駒	みなみいこま	み	IAIIOA	奈良県	近鉄	生駒線		3
南石井	みなみいしい	み	IAIIII	福島県	JR東日本	水郡線		3
南石下	みなみいしげ	み	IAIIIE	茨城県	関東鉄道	常総線		3
南伊東	みなみいとう	み	IAIIOO	静岡県	伊豆急行			3
南茨木	みなみいばらき	み	IAIIAAI	大阪府	阪急	京都本線		3
南今庄	みなみいまじょう	み	IAIIAOO	福井県	JR西日本	北陸本線		3
南岩国	みなみいわくに	み	IAIIAUI	山口県	JR西日本	山陽本線		3
南魚崎	みなみうおざき	み	IAIUOAI	兵庫県	六甲ライナー			3
南ウッディタウン	みなみうっでぃたうん	み	IAIUIIAUN	兵庫県	神鉄	公園都市線		8
南宇都宮	みなみうつのみや	み	IAIUUOIA	栃木県	東武	宇都宮線		4
南浦和	みなみうらわ	み	IAIUAA	埼玉県	JR東日本	京浜東北線		3
南大分	みなみおおいた	み	IAIOOIA	大分県	JR九州	久大本線		3
南大沢	みなみおおさわ	み	IAIOOAA	東京都	京王	相模原線		3
南太田	みなみおおた	み	IAIOOA	神奈川県	京急	本線		3
南大高	みなみおおだか	み	IAIOOAA	愛知県	JR東海	東海道本線		3
南大塚	みなみおおつか	み	IAIOOUA	埼玉県	西武	新宿線		3
南大町	みなみおおまち	み	IAIOOAI	長野県	JR東日本	大糸線		3
南大嶺	みなみおおみね	み	IAIOOIE	山口県	JR西日本	美祢線		3
南岡山(貨)	みなみおかやま	み	IAIOAAA	岡山県	岡山臨港鉄道		D	3
南小谷	みなみおたり	み	IAIOAI	長野県	JR東日本	大糸線		3
南小樽	みなみおたる	み	IAIOAU	北海道	JR北海道	函館本線		3
南小野田	みなみおのだ	み	IAIOOA	山口県	JR西日本	小野田線		4
南が丘	みなみがおか	み	IAIAOA	三重県	近鉄	名古屋線		3
南加木屋	みなみかぎや	み	IAIAIA	愛知県	名鉄	河和線		4
南角田	みなみかくだ	み	IAIAUA	宮城県	阿武隈急行			3
南鹿児島	みなみかごしま	み	IAIAOIA	鹿児島県	JR九州	指宿枕崎線		4
南鹿児島駅前	みなみかごしまえきまえ	み	IAIAOIAEIAE	鹿児島県	鹿児島市電	谷山線		6
南柏	みなみかしわ	み	IAIAIA	千葉県	JR東日本	常磐線		2
南方(宮崎)	みなみかた	み	IAIAA	宮崎県	JR九州	日南線		2
南方(大阪)	みなみかた	み	IAIAA	大阪府	阪急	京都本線		2
南神城	みなみかみしろ	み	IAIAIIO	長野県	JR東日本	大糸線		3
美並苅安	みなみかりやす	み	IAIAIAU	岐阜県	長良川鉄道			4
南京極	みなみきょうごく	み	IAIOOOU	北海道	国鉄	胆振線	D	3
南行徳	みなみぎょうとく	み	IAIOOOU	千葉県	東京メトロ	東西線		3
南草津	みなみくさつ	み	IAIUAU	滋賀県	JR西日本	東海道本線		3
南熊本	みなみくまもと	み	IAIUAOO	熊本県	JR九州	豊肥本線		3
南区役所前	みなみくやくしょまえ	み	IAIUAUOAE	広島県	広島電鉄	皆実線		5
南栗橋	みなみくりはし	み	IAIUIAI	埼玉県	東武	日光線		3
南久留米	みなみくるめ	み	IAIUUE	福岡県	JR九州	久大本線		4
南ゲート	みなみげーと	み	IAIEEO	沖縄県	エキスポニューシティカー		D	4
南気仙沼	みなみけせんぬま	み	IAIEENUA	宮城県	JR東日本	気仙沼線(BRT)	BRT	4
南公園	みなみこうえん	み	IAIOOEN	兵庫県	ポートライナー			3
南甲佐	みなみこうさ	み	IAIOOA	熊本県	熊延鉄道		D	3
南河内	みなみごうち	み	IAIOOI	山口県	錦川鉄道			3
南甲府	みなみこうふ	み	IAIOOU	山梨県	JR東海	身延線		3
南小倉	みなみこくら	み	IAIOUA	福岡県	JR九州	日豊本線		3
南越谷	みなみこしがや	み	IAIOIAA	埼玉県	JR東日本	武蔵野線		3
みなみ子宝温泉	みなみこだからおんせん	み	IAIOAAAONEN	岐阜県	長良川鉄道			7
南御殿場	みなみごてんば	み	IAIOENA	静岡県	JR東海	御殿場線		4
南小松島	みなみこまつしま	み	IAIOAUIA	徳島県	JR四国	牟岐線		4
南佐賀	みなみさが	み	IAIAA	佐賀県	国鉄	佐賀線	D	3
南酒出	みなみさかいで	み	IAIAAIE	茨城県	JR東日本	水郡線		3
南栄	みなみさかえ	み	IAIAAE	愛知県	豊橋鉄道	渥美線		2
南寒河江	みなみさがえ	み	IAIAAE	山形県	JR東日本	左沢線		4
南桜井(埼玉)	みなみさくらい	み	IAIAUAI	埼玉県	東武	野田線		3
南桜井(愛知)	みなみさくらい	み	IAIAUAI	愛知県	名鉄	西尾線		3
南滋賀	みなみしが	み	IAIIA	滋賀県	京阪	石山坂本線		3
南酒々井	みなみしすい	み	IAIIUI	千葉県	JR東日本	総武本線		4
南島原	みなみしまばら	み	IAIIAAA	長崎県	島原鉄道			3
南清水沢	みなみしみずさわ	み	IAIIIUAA	北海道	JR北海道	夕張線	D	4
南下徳富	みなみしもとっぷ	み	IAIIOOU	北海道	JR北海道	札沼線		4
南下沼	みなみしもぬま	み	IAIIOUA	北海道	JR北海道	宗谷本線	D	3
南斜里	みなみしゃり	み	IAIAI	北海道	JR北海道	釧網本線		3
南宿	みなみじゅく	み	IAIUU	岐阜県	名鉄	竹鼻線		2
南宍道	みなみしんじ	み	IAIINI	島根県	JR西日本	木次線		3
南新宿	みなみしんじゅく	み	IAIINUU	東京都	小田急	小田原線		3
南新庄	みなみしんじょう	み	IAIINOO	山形県	JR東日本	陸羽東線		3
南吹田	みなみすいた	み	IAIUIA	大阪府	JR西日本	おおさか東線		3
南砂町	みなみすなまち	み	IAIUAAI	東京都	東京メトロ	東西線		3
南瀬高	みなみせたか	み	IAIEAA	福岡県	JR九州	鹿児島本線		3
南摂津	みなみせっつ	み	IAIEU	大阪府	大阪高速鉄道	大阪モノレール線		3
南千住	みなみせんじゅ	み	IAIENU	東京都	JR東日本	常磐線		3
南仙台	みなみせんだい	み	IAIENAI	宮城県	JR東日本	東北本線		3
南千里	みなみせんり	み	IAIENI	大阪府	阪急	千里線		3
南大東	みなみだいとう	み	IAIAIOO	島根県	JR西日本	木次線		3
南平	みなみだいら	み	IAIAIA	東京都	京王	京王線		2
南高崎	みなみたかさき	み	IAIAAAI	群馬県	上信電鉄			3
南高田	みなみたかだ	み	IAIAAA	新潟県	えちごトキめき鉄道	妙高はねうまライン		3
南巽	みなみたつみ	み	IAIAUI	大阪府	大阪市高速電気軌道	千日前線		2
南田辺	みなみたなべ	み	IAIAAE	大阪府	JR西日本	阪和線		3
南多夫施	みなみたふせ	み	IAIAUE	鹿児島県	鹿児島交通	南薩線	D	4
南多摩	みなみたま	み	IAIAA	東京都	JR東日本	南武線		3
南段原	みなみだんばら	み	IAIANAA	広島県	国鉄	宇品線	D	3
南千歳	みなみちとせ	み	IAIIOE	北海道	JR北海道	千歳線		3
南鳥海	みなみちょうかい	み	IAIOOAI	山形県	JR東日本	羽越本線		3
南弟子屈	みなみてしかが	み	IAIEIAA	北海道	JR北海道	釧網本線		4
南出羽	みなみでわ	み	IAIEA	山形県	JR東日本	奥羽本線		3
南富山	みなみとやま	み	IAIOAA	富山県	富山地鉄	不二越線		3
南富山駅前	みなみとやまえきまえ	み	IAIOAAEIAE	富山県	富山地鉄	市内軌道線		5
南豊科	みなみとよしな	み	IAIOOIA	長野県	JR東日本	大糸線		3
南長井	みなみながい	み	IAIAAI	山形県	山形鉄道	フラワー長井線		3
南長岡(貨)	みなみながおか	み	IAIAAOA	新潟県	JR貨物	信越本線		3
南中川	みなみなかがわ	み	IAIAAAA	山口県	JR西日本	小野田線		3
南中郷	みなみなかごう	み	IAIAAOO	茨城県	JR東日本	常磐線		3
南永山	みなみながやま	み	IAIAAAA	北海道	JR北海道	石北本線		3
南流山	みなみながれやま	み	IAIAAEAA	千葉県	JR東日本	武蔵野線		3
南野	みなみの	み	IAIO	山形県	JR東日本	陸羽西線		2
南直方御殿口	みなみのおがたごてんぐち	み	IAIOOAAOENUI	福岡県	平成筑豊鉄道	伊田線		6
南延岡	みなみのべおか	み	IAIOEOA	宮崎県	JR九州	日豊本線		3
南羽咋	みなみはくい	み	IAIAUI	石川県	JR西日本	七尾線		3
南橋本	みなみはしもと	み	IAIAIOO	神奈川県	JR東日本	相模線		3
南鳩ヶ谷	みなみはとがや	み	IAIAOAA	埼玉県	埼玉高速鉄道			4
南羽生	みなみはにゅう	み	IAIAUU	埼玉県	東武	伊勢崎線		3
南三原	みなみはら	み	IAIAA	千葉県	JR東日本	内房線		3
南彦根	みなみひこね	み	IAIIOE	滋賀県	JR西日本	東海道本線		3
南比布	みなみぴっぷ	み	IAIIU	北海道	JR北海道	宗谷本線		3
南日永	みなみひなが	み	IAIIAA	三重県	四日市あすなろう鉄道			3
南美深	みなみびふか	み	IAIIUA	北海道	JR北海道	宗谷本線		3
南日向	みなみひゅうが	み	IAIUUA	宮崎県	JR九州	日豊本線		3
南平岸	みなみひらぎし	み	IAIIAII	北海道	札幌市営地下鉄	南北線		3
南吹上浜	みなみふきあげはま	み	IAIUIAEAA	鹿児島県	鹿児島交通	南薩線	D	4
南福岡	みなみふくおか	み	IAIUUOA	福岡県	JR九州	鹿児島本線		3
南福島	みなみふくしま	み	IAIUUIA	福島県	JR東日本	東北本線		3
南船橋	みなみふなばし	み	IAIUAAI	千葉県	JR東日本	京葉線		3
南古谷	みなみふるや	み	IAIUUA	埼玉県	JR東日本	川越線		3
南堀端	みなみほりばた	み	IAIOIAA	愛媛県	伊予鉄道	花園線		3
南幌延	みなみほろのべ	み	IAIOOOE	北海道	JR北海道	宗谷本線		3
南本別	みなみほんべつ	み	IAIONEU	北海道	北海道ちほく高原鉄道		D	3
南万騎が原	みなみまきがはら	み	IAIAIAAA	神奈川県	相鉄	いずみ野線		5
南町	みなみまち	み	IAIAI	愛媛県	伊予鉄道	城南線		2
南町田	みなみまちだ	み	IAIAIA	東京都	東急	田園都市線		3
皆実町二丁目	みなみまちにちょうめ	み	IAIAIIOOE	広島県	広島電鉄	皆実線		6
皆実町六丁目	みなみまちろくちょうめ	み	IAIOOOUOOE	広島県	広島電鉄	宇品線		6
南松本	みなみまつもと	み	IAIAUOO	長野県	JR東日本	篠ノ井線		3
南宮崎	みなみみやざき	み	IAIIAAI	宮崎県	JR九州	日豊本線		3
南森町	みなみもりまち	み	IAIOIAI	大阪府	大阪市高速電気軌道	谷町線		3
南守谷	みなみもりや	み	IAIOIA	茨城県	関東鉄道	常総線		3
南矢代	みなみやしろ	み	IAIAIO	兵庫県	JR西日本	福知山線		3
南行橋	みなみゆくはし	み	IAIUUAI	福岡県	JR九州	日豊本線		3
南由布	みなみゆふ	み	IAIUU	大分県	JR九州	久大本線		3
南吉田	みなみよしだ	み	IAIOIA	新潟県	JR東日本	越後線		3
南四日市	みなみよっかいち	み	IAIOAII	三重県	JR東海	関西本線		4
南米沢	みなみよねざわ	み	IAIOEAA	山形県	JR東日本	米坂線		3
南与野	みなみよの	み	IAIOO	埼玉県	JR東日本	埼京線		3
南林間	みなみりんかん	み	IAIINAN	神奈川県	小田急	江ノ島線		3
南若松	みなみわかまつ	み	IAIAAAU	福島県	会津鉄道			3
南稚内	みなみわっかない	み	IAIAAAI	北海道	JR北海道	宗谷本線		3
見奈良	みなら	み	IAA	愛媛県	伊予鉄道	横河原線		3
三成	みなり	み	IAI	広島県	尾道鉄道		D	2
三縄	みなわ	み	IAA	徳島県	JR四国	土讃線		2
ミニ浄土ヶ浜公園前	みにじょうどがはまこうえんまえ	み	IIOOOAAAOOENAE	岩手県	JR東日本	山田線	D	9
見沼代親水公園	みぬまだいしんすいこうえん	み	IUAAIINUIOOEN	東京都	日暮里・舎人ライナー			7
美祢	みね	み	IE	山口県	JR西日本	美祢線		2
峰延	みねのぶ	み	IEOU	北海道	JR北海道	函館本線		2
峰山	みねやま	み	IEAA	京都府	京都丹後鉄道	宮豊線		2
峰吉川	みねよしかわ	み	IEOIAA	秋田県	JR東日本	奥羽本線		3
みの	みの	み	IO	香川県	JR四国	予讃線		2
美濃赤坂	みのあかさか	み	IOAAAA	岐阜県	JR東海	東海道本線		4
箕浦	みのうら	み	IOUA	香川県	JR四国	予讃線		2
箕面	みのお	み	IOO	大阪府	阪急	箕面線		2
美濃太田	みのおおた	み	IOOOA	岐阜県	JR東海	高山本線		4
美濃川合	みのかわい	み	IOAAI	岐阜県	JR東海	太多線		4
美乃坂本	みのさかもと	み	IOAAOO	岐阜県	JR東海	中央本線		4
美濃市	みのし	み	IOI	岐阜県	長良川鉄道			3
箕島	みのしま	み	IOIA	和歌山県	JR西日本	紀勢本線		2
美濃白鳥	みのしろとり	み	IOIOOI	岐阜県	長良川鉄道			4
三野瀬	みのせ	み	IOE	三重県	JR東海	紀勢本線		3
美濃高田	みのたかだ	み	IOAAA	岐阜県	養老鉄道			4
箕谷	みのたに	み	IOAI	兵庫県	神鉄	有馬線		2
水内	みのち	み	IOI	広島県	JR西日本	可部線	D	2
美濃津屋	みのつや	み	IOUA	岐阜県	養老鉄道			4
見能林	みのばやし	み	IOAAI	徳島県	JR四国	牟岐線		3
身延	みのぶ	み	IOU	山梨県	JR東海	身延線		2
美濃本郷	みのほんごう	み	IOONOO	岐阜県	養老鉄道			4
美濃松山	みのまつやま	み	IOAUAA	岐阜県	養老鉄道			4
水呑	みのみ	み	IOI	広島県	鞆鉄道		D	2
水呑薬師	みのみやくし	み	IOIAUI	広島県	鞆鉄道		D	4
美濃青柳	みのやなぎ	み	IOAAI	岐阜県	養老鉄道			4
美濃山崎	みのやまざき	み	IOAAAI	岐阜県	養老鉄道			4
みのり台	みのりだい	み	IOIAI	千葉県	新京成電鉄			4
三ノ輪	みのわ	み	IOA	東京都	東京メトロ	日比谷線		3
三ノ輪橋	みのわばし	み	IOAAI	東京都	都電	荒川線		4
美旗	みはた	み	IAA	三重県	近鉄	大阪線		2
美浜	みはま	み	IAA	福井県	JR西日本	小浜線		2
美浜緑苑	みはまりょくえん	み	IAAOUEN	愛知県	名鉄	知多新線		4
三原	みはら	み	IAA	広島県	JR西日本	山陽本線		2
見晴	みはらし	み	IAAI	群馬県	伊香保ロープウェイ			2
見晴台	みはらしだい	み	IAAIAI	熊本県	南阿蘇鉄道			3
三春	みはる	み	IAU	福島県	JR東日本	磐越東線		2
壬生	みぶ	み	IU	栃木県	東武	宇都宮線		2
御船	みふね	み	IUE	熊本県	熊延鉄道		D	2
三保三隅	みほみすみ	み	IOIUI	島根県	JR西日本	山陰本線		4
三間坂	みまさか	み	IAAA	佐賀県	JR九州	佐世保線		3
美作江見	みまさかえみ	み	IAAAEI	岡山県	JR西日本	姫新線		4
美作追分	みまさかおいわけ	み	IAAAOIAE	岡山県	JR西日本	姫新線		4
美作大崎	みまさかおおさき	み	IAAAOOAI	岡山県	JR西日本	姫新線		4
美作落合	みまさかおちあい	み	IAAAOIAI	岡山県	JR西日本	姫新線		4
美作加茂	みまさかかも	み	IAAAAO	岡山県	JR西日本	因美線		4
美作河井	みまさかかわい	み	IAAAAAI	岡山県	JR西日本	因美線		4
美作千代	みまさかせんだい	み	IAAAENAI	岡山県	JR西日本	姫新線		4
美作滝尾	みまさかたきお	み	IAAAAIO	岡山県	JR西日本	因美線		4
美作土居	みまさかどい	み	IAAAOI	岡山県	JR西日本	姫新線		4
美作飯岡	みまさかゆうか	み	IAAAUUA	岡山県	片上鉄道		D	4
三股	みまた	み	IAA	宮崎県	JR九州	日豊本線		2
美々津	みみつ	み	IIU	宮崎県	JR九州	日豊本線		3
耳成	みみなし	み	IIAI	奈良県	近鉄	大阪線		2
三室戸	みむろど	み	IUOO	京都府	京阪	宇治線		3
実籾	みもみ	み	IOI	千葉県	京成	本線		2
三森	みもり	み	IOII	福島県	国鉄	白棚線	D	2
宮内(新潟)	みやうち	み	IAUI	新潟県	JR東日本	信越本線		2
宮内(山形)	みやうち	み	IAUI	山形県	山形鉄道	フラワー長井線		2
宮内(広島)	みやうち	み	IAUI	広島県	広島電鉄	宮島線		2
宮内串戸	みやうちくしど	み	IAUIUIO	広島県	JR西日本	山陽本線		4
宮ヶ浜	みやがはま	み	IAAAA	鹿児島県	JR九州	指宿枕崎線		3
宮川	みやがわ	み	IAAA	三重県	JR東海	参宮線		2
宮木	みやき	み	IAI	長野県	JR東海	飯田線		2
宮城野通	みやぎのどおり	み	IAIOOOI	宮城県	仙台市営地下鉄	東西線		4
宮城野原	みやぎのはら	み	IAIOAA	宮城県	JR東日本	仙石線		4
宮口	みやぐち	み	IAUI	静岡県	天竜浜名湖鉄道			2
三宅八幡	みやけはちまん	み	IAEAIAN	京都府	叡山電鉄	本線		4
宮古	みやこ	み	IAO	岩手県	JR東日本	山田線		2
美夜古泉	みやこいずみ	み	IAOIUI	福岡県	平成筑豊鉄道	田川線		4
宮古港	みやここう	み	IAOOO	岩手県	JR東日本	山田線	D	3
宮越	みやこし	み	IAOI	北海道	JR北海道	江差線	D	2
都島[大阪市営]	みやこじま	み	IAOIA	大阪府	大阪市高速電気軌道	谷町線		2
都田	みやこだ	み	IAOA	静岡県	天竜浜名湖鉄道			2
都通	みやこどおり	み	IAOOOI	鹿児島県	鹿児島市電	第二期線		2
都城	みやこのじょう	み	IAOOOO	宮崎県	JR九州	日豊本線		2
宮崎	みやざき	み	IAAI	宮崎県	JR九州	日豊本線		2
宮崎空港	みやざきくうこう	み	IAAIUUOO	宮崎県	JR九州	宮崎空港線		4
宮崎神宮	みやざきじんぐう	み	IAAIINUU	宮崎県	JR九州	日豊本線		4
宮崎台	みやざきだい	み	IAAIAI	神奈川県	東急	田園都市線		3
宮地	みやじ	み	IAI	熊本県	JR九州	豊肥本線		2
宮島口	みやじまぐち	み	IAIAUI	広島県	JR西日本	山陽本線		3
宮田	みやだ	み	IAA	長野県	JR東海	飯田線		2
宮田町	みやたちょう	み	IAAOO	愛媛県	伊予鉄道	大手町線		3
宮津	みやづ	み	IAU	京都府	京都丹後鉄道	宮舞線		2
宮野	みやの	み	IAO	山口県	JR西日本	山口線		2
宮の奥	みやのおく	み	IAOOU	高知県	とさでん	伊野線		3
宮ノ越	みやのこし	み	IAOOI	長野県	JR東海	中央本線		3
宮の坂[東京]	みやのさか	み	IAOAA	東京都	東急	世田谷線		3
宮之阪[大阪]	みやのさか	み	IAOAA	大阪府	京阪	交野線		3
宮の沢	みやのさわ	み	IAOAA	北海道	札幌市営地下鉄	東西線		3
宮ノ下	みやのした	み	IAOIA	神奈川県	箱根登山鉄道	箱根登山線		3
宮之城	みやのじょう	み	IAOOO	鹿児島県	国鉄	宮之城線	D	3
宮の陣	みやのじん	み	IAOIN	福岡県	西鉄	天神大牟田線		3
宮ノ平	みやのひら	み	IAOIA	東京都	JR東日本	青梅線		3
宮ノ前	みやのまえ	み	IAOAE	東京都	都電	荒川線		3
宮ノ前[広島]	みやのまえ	み	IAOAE	広島県	尾道鉄道		D	3
宮原	みやはら	み	IAAA	埼玉県	JR東日本	高崎線		2
宮原(熊本)	みやばる	み	IAAU	熊本県	山鹿温泉鉄道		D	2
宮平	みやひら	み	IAIA	沖縄県	沖縄県鉄道	与那原線	D	2
美山	みやま	み	IAA	福井県	JR西日本	越美北線		2
宮前	みやまえ	み	IAAE	和歌山県	JR西日本	紀勢本線		2
宮前平	みやまえだいら	み	IAAEAIA	神奈川県	東急	田園都市線		3
三山木	みやまき	み	IAAI	京都府	近鉄	京都線		3
宮町	みやまち	み	IAAI	三重県	近鉄	山田線		2
海山道	みやまど	み	IAAO	三重県	近鉄	名古屋線		3
宮村	みやむら	み	IAUA	京都府	京都丹後鉄道	宮福線		2
宮本武蔵	みやもとむさし	み	IAOOUAI	岡山県	智頭急行			4
宮守	みやもり	み	IAOI	岩手県	JR東日本	釜石線		2
宮山	みややま	み	IAAA	神奈川県	JR東日本	相模線		2
宮脇	みやわき	み	IAAI	茨城県	筑波山鋼索鉄道			2
御幸辻	みゆきつじ	み	IUIUI	和歌山県	南海	高野線		3
御幸橋	みゆきばし	み	IUIAI	広島県	広島電鉄	宇品線		3
妙音通	みょうおんどおり	み	OOONOOI	愛知県	名古屋市営地下鉄	名城線		3
明覚	みょうかく	み	OOAU	埼玉県	JR東日本	八高線		2
茗荷谷	みょうがだに	み	OOAAI	東京都	東京メトロ	丸ノ内線		3
名家	みょうけ	み	OOE	福島県	日本硫黄沼尻鉄道		D	2
妙見(広島)	みょうけん	み	OOEN	広島県	鞆鉄道		D	2
妙見(香川)	みょうけん	み	OOEN	香川県	琴平急行電鉄		D	2
妙見口	みょうけんぐち	み	OOENUI	大阪府	能勢電鉄	妙見線		3
妙見岳	みょうけんだけ	み	OOENAE	長崎県	雲仙ロープウェイ			3
明見橋	みょうけんばし	み	OOENAI	高知県	とさでん	後免線		3
妙高高原	みょうこうこうげん	み	OOOOOOEN	新潟県	えちごトキめき鉄道	妙高はねうまライン		4
妙興寺	みょうこうじ	み	OOOOI	愛知県	名鉄	名古屋本線		3
妙国寺前	みょうこくじまえ	み	OOOUIAE	大阪府	阪堺電軌	阪堺線		4
妙寺	みょうじ	み	OOI	和歌山県	JR西日本	和歌山線		2
明星	みょうじょう	み	OOOO	三重県	近鉄	山田線		2
明神	みょうじん	み	OOIN	栃木県	東武	日光線		2
妙心寺	みょうしんじ	み	OOINI	京都府	京福電鉄	北野線		3
名谷	みょうだに	み	OOAI	兵庫県	神戸市営地下鉄	西神・山手線		2
妙典	みょうでん	み	OOEN	千葉県	東京メトロ	東西線		2
妙法寺(新潟)	みょうほうじ	み	OOOOI	新潟県	JR東日本	越後線		3
妙法寺(兵庫)	みょうほうじ	み	OOOOI	兵庫県	神戸市営地下鉄	西神・山手線		3
妙蓮寺	みょうれんじ	み	OOENI	神奈川県	東急	東横線		3
三次[広島]	みよし	み	IOI	広島県	JR西日本	芸備線		2
御代志[熊本]	みよし	み	IOI	熊本県	熊本電鉄	菊池線		3
三好ヶ丘	みよしがおか	み	IOIAOA	愛知県	名鉄	豊田線		4
三好町	みよしちょう	み	IOIOO	長野県	上田電鉄			3
御代田	みよた	み	IOA	長野県	しなの鉄道			3
みらい平	みらいだいら	み	IAIAIA	茨城県	つくばエクスプレス			4
三良坂	みらさか	み	IAAA	広島県	JR西日本	福塩線		3
美流渡	みると	み	IUO	北海道	国鉄	万字線	D	3
見老津	みろづ	み	IOU	和歌山県	JR西日本	紀勢本線		3
三輪	みわ	み	IA	奈良県	JR西日本	桜井線		2
三輪崎	みわさき	み	IAAI	和歌山県	JR西日本	紀勢本線		3
三厩	みんまや	み	INAA	青森県	JR東日本	津軽線		2
六日町	むいかまち	む	UIAAI	新潟県	JR東日本	上越線		3
向河原	むかいがわら	む	UAIAAA	神奈川県	JR東日本	南武線		3
向島	むかいじま	む	UAIIA	京都府	近鉄	京都線		2
向瀬上	むかいせのうえ	む	UAIEOUE	福島県	阿武隈急行			3
向市場	むかいちば	む	UAIIA	静岡県	JR東海	飯田線		3
